id,YOLOv5ObjectDetector,MemeClassifier,SceneClassifier
1296476570702487554,0.8525390625,0.9508957266807556,1.0
1296476565535182848,0.0,8.60836488897343e-12,1.0
1296476565249949696,0.0,0.4513621926307678,1.0
1296476564998295554,0.84521484375,0.9388083219528198,1.0
1296476560074182656,0.3359375,0.4998302459716797,1.0
1296476559663128576,0.0,8.10827623354271e-05,1.0
1296476558631342085,0.92041015625,0.9897300004959106,1.0
1296476558287306752,0.0,0.67984539270401,0.8171164884000086
1296476558157402119,0.0,1.1147672784872498e-09,1.0
1296476555582025730,0.0,0.0074232523329555,0.6135526491079676
1296476554315403268,0.728515625,0.0005115184467285,1.0
1296476548942508032,0.0,0.0133591266348958,1.0
1296476548271308803,0.0,0.0249477978795766,1.0
1296476543955410950,0.0,2.9245883492734484e-09,1.0
1296476542944632833,0.0,0.9984014630317688,0.8141423996143625
1296476542395129856,0.0,0.0118283545598387,1.0
1296476542235824128,0.0,7.330214430112392e-05,1.0
1296476538020519939,0.0,2.2033894708783922e-08,1.0
1296476533067001859,0.0,0.3874848484992981,1.0
1296476532005896193,0.810546875,0.0241471100598573,1.0
1296476531750064139,0.0,0.0204850826412439,0.9288178544784564
1296476527270547456,0.59716796875,0.3137566447257995,0.9090416330184854
1296476526385528834,0.8974609375,0.1003595367074012,1.0
1296476520265986048,0.0,4.500668282503284e-09,1.0
1296476515824173058,0.0,2.8582803679455537e-08,1.0
1296476514058371074,0.90283203125,0.9678845405578612,1.0
1296476507032911874,0.73876953125,0.9747888445854188,0.4844930797856376
1296476506420662274,0.0,3.0929180638850085e-07,0.6824639621451888
1296476506131136512,0.93994140625,0.9884639382362366,1.0
1296476505200111616,0.255126953125,0.9667437672615052,0.7136038135412613
1296476502276612098,0.0,0.0109342746436595,1.0
1296476498745069570,0.55322265625,0.9349262714385986,0.8581401920064348
1296476470169219079,,,
1296476441123708928,,,
1296476496098459648,0.0,0.9807763695716858,1.0
1296476492940148736,0.56689453125,0.9611822962760924,1.0
1296476492021596160,0.89111328125,0.9726830124855042,1.0
1296476489555283969,0.78271484375,0.5852351784706116,1.0
1296476488276074500,0.0,0.0702347159385681,1.0
1296476488011862016,0.0,0.0033464911393821,1.0
1296476486044704768,0.0,2.0196562218188774e-06,1.0
1296476484320866304,0.0,1.3459450087793814e-07,1.0
1296476482357866497,0.0,0.5425253510475159,1.0
1296476475336658946,0.0,1.4861749164651885e-08,1.0
1296476465052241922,0.0,0.9890613555908204,1.0
1296476463743590401,0.79052734375,0.8033831715583801,1.0
1296476463374438401,0.0,0.6119198203086853,1.0
1296476462661410823,0.78271484375,0.9747542142868042,1.0
1296476460887220225,0.62890625,2.9065399392846917e-11,1.0
1296476460413313024,0.0,0.0053162258118391,1.0
1296476458832068609,0.64306640625,2.3622060751904428e-08,0.8640004049862582
1296476455669563396,0.0,0.0015680396463721,1.0
1296476454268567553,0.77001953125,9.67124478279402e-08,1.0
1296476451559084037,0.0,0.9592357873916626,1.0
1296476449306824705,0.0,2.685193749130121e-06,0.9488685590250078
1296476444239986689,0.0,0.974872589111328,0.5224642212198861
